-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
1.4823 0.0316884 3.70769
1.56179 0.024539 3.78126
1.61737 0.0226772 3.77336
1.62067 0.0234992 3.79111
1.56038 0.0191678 3.64699
1.57833 0.021294 3.61587
1.7273 0.0383156 3.80655
1.64171 0.0294815 3.60192
1.66503 0.0334348 3.58586
1.69183 0.0315666 3.56607
1.6857 0.00595539 3.54303
1.69547 -0.0350691 3.56817
1.90239 -0.0542366 3.86204
1.85989 -0.0698541 3.77647
1.75505 -0.0530136 3.91885
1.44994 -0.0548346 3.69925
1.29558 -0.0346107 3.79483
1.13276 -0.0299041 3.82417
1.01465 -0.0215096 3.9027
0.909295 -0.0132249 3.92803
0.914519 -0.00107809 4.1664
0.868334 -0.00200346 4.16226
0.87042 0.00454209 4.19261
0.872317 -0.00283107 4.15579
0.888467 -0.0060505 4.13472
0.920453 0.00292832 4.17615
0.891202 -0.0015524 4.04989
0.965538 0.00281438 4.11103
0.938944 -0.00210819 3.98727
1.01652 0.0116656 4.10717
1.03187 0.011723 4.04761
1.00406 0.011085 3.95113
1.07513 0.0201511 4.0426
1.08503 0.0180612 3.97703
1.06949 0.0149384 3.92637
1.07526 0.010336 3.87531
1.12779 0.0119285 3.90365
1.14478 0.0102716 3.90137
1.1098 0.00540126 3.81309
1.16923 0.00851098 3.87317
1.16329 -0.0088393 3.83785
1.14326 -0.049987 3.85483
1.08624 -0.092222 3.86974
0.988185 -0.114157 3.83518
0.862012 -0.110586 3.83346
0.719523 -0.10348 3.83585
0.59026 -0.0896418 3.90417
0.486962 -0.0814193 3.90108
0.417701 -0.076836 3.9162
0.37243 -0.0718393 3.92596
0.36407 -0.0698516 3.92686
0.362917 -0.0687266 3.91016
0.375803 -0.0643388 3.90325
0.390827 -0.0618901 3.95782
0.404625 -0.0660021 3.88515
0.404358 -0.0696131 3.88745
0.409895 -0.0703354 3.87926
0.424599 -0.0884503 3.97396
0.411752 -0.092882 3.8818
0.412873 -0.10056 3.94515
0.400535 -0.10831 3.90576
2.02564 0.752792 10.0267
0.379226 -0.126812 3.87972
0.379965 -0.130959 3.91624
0.372635 -0.143516 3.92417
0.37193 -0.158259 4.03195
0.342539 -0.158931 3.92626
0.34449 -0.172757 3.97491
0.327423 -0.180895 3.97179
0.315255 -0.19342 3.99326
0.28727 -0.224703 4.01119
0.233929 -0.265883 4.07512
0.129717 -0.272117 4.04212
0.043211 -0.274485 4.0506
-0.00127893 -0.284349 4.04514
-0.0333185 -0.287225 4.12501
-0.061968 -0.286236 4.16357
-0.0862305 -0.286923 4.12476
-0.111961 -0.282423 4.2659
-19.8313 6.59724 -9.9399
-0.160924 -0.275729 4.25188
-0.189351 -0.275203 4.28661
-0.214628 -0.274436 4.30157
3.11649 -10.1566 9.96166
-0.261049 -0.276056 4.32457
20.2086 10.0017 -10.0377
-0.325792 -0.29833 4.36283
-0.327466 -0.310414 4.14189
-0.365059 -0.297219 4.30933
-0.387777 -0.316625 4.44878
-1.51398 -2.18943 10.0129
-2.60261 -4.6066 10.0553
-0.442863 -0.315799 4.40687
-0.463391 -0.330718 4.48055
-0.482678 -0.333465 4.58219
-0.741386 -0.77902 10.0143
-0.513674 -0.31002 4.45053
-0.52823 -0.319449 4.49924
-0.552168 -0.327951 4.61875
